name,platform,year_of_release,genre,rating
Wii Sports,Wii,2006,Sports,E
Super Mario Bros.,NES,1985,Platform,
Mario Kart Wii,Wii,2008,Racing,E
Wii Sports Resort,Wii,2009,Sports,E
Pokemon Red/Pokemon Blue,G,1996,Role-Playing,
Tetris,G,1989,Puzzle,
New Super Mario Bros.,DS,2006,Platform,E
Wii Play,Wii,2006,Misc,E
New Super Mario Bros. Wii,Wii,2009,Platform,E
Duck Hunt,NES,1984,Shooter,
Nintendogs,DS,2005,Simulation,
Mario Kart DS,DS,2005,Racing,E
Pokemon Gold/Pokemon Silver,G,1999,Role-Playing,
Wii Fit,Wii,2007,Sports,E
Kinect Adventures!,X360,2010,Misc,E
Wii Fit Plus,Wii,2009,Sports,E
Grand Theft Auto V,PS3,2013,Action,M
Grand Theft Auto: San Andreas,PS2,2004,Action,M
Super Mario World,SNES,1990,Platform,
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,E
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,
Super Mario Land,G,1989,Platform,
Super Mario Bros. 3,NES,1988,Platform,
Grand Theft Auto V,X360,2013,Action,M
Grand Theft Auto: Vice City,PS2,2002,Action,M
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,E
Pokemon Black/Pokemon White,DS,2010,Role-Playing,
Gran Turismo 3: A-Spec,PS2,2001,Racing,E
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,
Call of Duty: Black Ops 3,PS4,2015,Shooter,
Call of Duty: Modern Warfare 3,X360,2011,Shooter,M
Call of Duty: Black Ops,X360,2010,Shooter,M
Pok\xc3\xa9mon Yellow: Special Pikachu Edition,G,1998,Role-Playing,
Call of Duty: Black Ops II,PS3,2012,Shooter,M
Call of Duty: Black Ops II,X360,2012,Shooter,M
Call of Duty: Modern Warfare 2,X360,2009,Shooter,M
Grand Theft Auto V,PS4,2014,Action,M
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,M
Grand Theft Auto III,PS2,2001,Action,M
Mario Kart 7,3DS,2011,Racing,E
Super Smash Bros. Brawl,Wii,2008,Fighting,T
Call of Duty: Black Ops,PS3,2010,Shooter,M
Animal Crossing: Wild World,DS,2005,Simulation,E
Halo 3,X360,2007,Shooter,M
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,
Super Mario 64,N64,1996,Platform,
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,
Gran Turismo 4,PS2,2004,Racing,E
Pokemon Sun/Moon,3DS,2016,Role-Playing,
Super Mario Galaxy,Wii,2007,Platform,E
Super Mario Land 2: 6 Golden Coins,G,1992,Adventure,
Grand Theft Auto IV,X360,2008,Action,M
Gran Turismo,PS,1997,Racing,E
Super Mario 3D Land,3DS,2011,Platform,E
Gran Turismo 5,PS3,2010,Racing,E
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,M
Super Mario All-Stars,SNES,1993,Platform,
Grand Theft Auto IV,PS3,2008,Action,M
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,
Super Mario 64,DS,2004,Platform,
Call of Duty: Ghosts,X360,2013,Shooter,M
Just Dance 3,Wii,2011,Misc,E10+
New Super Mario Bros. 2,3DS,2012,Platform,E
Halo: Reach,X360,2010,Shooter,M
Mario Kart 64,N64,1996,Racing,
Halo 4,X360,2012,Shooter,M
Final Fantasy VII,PS,1997,Role-Playing,T
Gran Turismo 2,PS,1999,Racing,T
Just Dance 2,Wii,2010,Misc,E10+
Call of Duty: Ghosts,PS3,2013,Shooter,M
Call of Duty 4: Modern Warfare,X360,2007,Shooter,M
Animal Crossing: New Leaf,3DS,2012,Simulation,E
Donkey Kong Country,SNES,1994,Platform,
Minecraft,X360,2013,Misc,
FIFA 17,PS4,2016,Sports,E
Mario Party DS,DS,2007,Misc,E
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,M
Super Mario Kart,SNES,1992,Racing,
FIFA 16,PS4,2015,Sports,E
Halo 2,X,2004,Shooter,M
Wii Party,Wii,2010,Misc,E
Mario Party 8,Wii,2007,Misc,E
Star Wars Battlefront (2015),PS4,2015,Shooter,
FIFA Soccer 13,PS3,2012,Action,E
GoldenEye 007,N64,1997,Shooter,
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,
Final Fantasy X,PS2,2001,Role-Playing,T
The Sims 3,PC,2009,Simulation,T
Mario & Sonic at the Olympic Games,Wii,2007,Sports,
Final Fantasy VIII,PS,1999,Role-Playing,T
Pac-Man,2600,1982,Puzzle,
Pok\xc3\xa9mon Platinum Version,DS,2008,Role-Playing,E
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,M
Call of Duty: Advanced Warfare,PS4,2014,Shooter,M
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,
The Legend of Zelda: Ocarina of Time,N64,1998,Action,
